transaction_id,amount,payment_method,account_age_days,device_age_days,transactions_last_24h,previous_chargebacks,ip_risk,device_risk,unknown_location,is_fraud
TXN-000026,6057.28,UPI,1718,1347,19,4,0.523,0.935,0,1
TXN-000027,59428.3,NETBANKING,1873,648,30,0,0.009,0.621,1,1
TXN-000028,32051.83,NETBANKING,543,715,29,0,0.879,0.37,0,0
TXN-000029,105560.63,UPI,2272,614,30,5,0.104,0.878,0,0
TXN-000030,111388.26,CARD,1116,578,20,1,0.718,0.204,0,1
TXN-000031,136233.04,UPI,379,1300,14,2,0.044,0.334,0,1
TXN-000032,66331.14,WALLET,2298,20,4,0,0.945,0.691,0,0
TXN-000033,87418.18,CARD,1761,262,2,2,0.365,0.933,0,1
TXN-000034,37504.51,UPI,1449,1147,29,3,0.974,0.749,0,0
TXN-000035,121634.68,WALLET,102,368,24,2,0.782,0.412,0,1
TXN-000036,105221.6,WALLET,159,964,8,1,0.817,0.46,0,1
TXN-000037,99038.97,WALLET,1345,571,28,0,0.967,0.279,1,0
TXN-000038,126564.81,NETBANKING,114,237,29,2,0.179,0.963,0,1
TXN-000039,65241.11,NETBANKING,1788,1242,17,0,0.385,0.577,0,0
TXN-000040,353.52,CARD,1492,884,3,5,0.921,0.623,0,0
TXN-000041,100067.25,NETBANKING,1649,1428,10,4,0.127,0.42,0,0
TXN-000042,45212.39,UPI,1245,588,7,3,0.786,0.607,0,0
TXN-000043,101376.52,WALLET,696,1350,3,2,0.515,0.633,0,0
TXN-000044,112695.61,NETBANKING,921,408,5,0,0.046,0.984,1,1
TXN-000045,132931.92,CARD,1573,1013,13,1,0.148,0.688,0,1
TXN-000046,120636.07,WALLET,206,1142,8,0,0.456,0.801,1,0
TXN-000047,133724.75,WALLET,2245,914,29,1,0.744,0.475,0,0
TXN-000048,41668.97,WALLET,980,563,15,0,0.714,0.234,0,0
TXN-000049,12178.59,CARD,948,785,23,1,0.706,0.064,0,0
TXN-000050,62424.56,CARD,1721,798,29,4,0.946,0.02,1,1
TXN-000051,141416.97,NETBANKING,1598,859,18,5,0.735,0.8,0,1
TXN-000052,65431.81,UPI,1593,689,22,5,0.798,0.724,0,0
TXN-000053,80165.13,WALLET,2425,1156,22,0,0.084,0.429,0,1
TXN-000054,56927.67,CARD,1863,670,11,3,0.278,0.951,0,0
TXN-000055,70598.99,UPI,1434,460,21,0,0.781,0.652,0,1
TXN-000056,3154.96,CARD,978,259,16,5,0.114,0.948,0,0
TXN-000057,25251.59,UPI,671,638,4,4,0.026,0.312,0,0
TXN-000058,29829.63,CARD,418,1428,25,2,0.85,0.6,0,1
TXN-000059,64313.86,NETBANKING,283,1037,21,2,0.013,0.42,0,1
TXN-000060,54391.99,WALLET,627,892,6,5,0.522,0.65,1,1
TXN-000061,123877.62,NETBANKING,1321,503,27,0,0.279,0.451,0,1
TXN-000062,74196.54,NETBANKING,745,999,7,2,0.798,0.34,1,1
TXN-000063,77542.43,CARD,351,495,24,3,0.489,0.758,0,1
TXN-000064,2684.76,NETBANKING,908,829,23,1,0.306,0.582,0,0
TXN-000065,111915.72,NETBANKING,1442,1440,15,2,0.307,0.231,0,1
TXN-000066,80426.01,CARD,785,444,24,3,0.276,0.59,1,0
TXN-000067,124910.99,NETBANKING,932,740,6,2,0.014,0.534,0,0
TXN-000068,83048.51,CARD,2011,211,28,0,0.574,0.469,0,1
TXN-000069,7801.37,WALLET,468,134,13,3,0.074,0.629,0,1
TXN-000070,84469.66,NETBANKING,349,509,4,4,0.764,0.606,1,0
TXN-000071,57118.67,WALLET,1218,1206,14,2,0.569,0.06,0,0
TXN-000072,39770.45,UPI,644,492,6,4,0.075,0.003,0,0
TXN-000073,34798.29,NETBANKING,1860,146,22,1,0.924,0.788,1,1
TXN-000074,81729.9,CARD,1089,292,3,0,0.166,0.308,1,0
TXN-000075,70357.83,NETBANKING,1649,558,17,4,0.494,0.08,0,0
TXN-000076,90596.67,UPI,375,469,22,4,0.587,0.021,0,0
TXN-000077,26361.09,WALLET,1140,372,19,3,0.635,0.492,0,1
TXN-000078,50062.93,UPI,659,676,14,5,0.495,0.663,0,0
TXN-000079,47246.12,NETBANKING,475,828,28,4,0.825,0.001,1,1
TXN-000080,28218.62,NETBANKING,2042,1281,15,0,0.204,0.549,0,0
TXN-000081,72758.3,UPI,2494,491,23,1,0.311,0.014,0,1
TXN-000082,126226.71,UPI,1891,241,21,1,0.498,0.717,1,1
TXN-000083,72426.69,WALLET,999,936,18,1,0.384,0.922,1,0
TXN-000084,41509.49,WALLET,1393,1040,9,0,0.283,0.299,1,0
TXN-000085,67037.45,WALLET,1414,681,18,4,0.377,0.933,0,1
TXN-000086,35111.01,WALLET,179,652,24,3,0.705,0.811,0,0
TXN-000087,5649.24,NETBANKING,412,902,4,4,0.91,0.015,0,0
TXN-000088,145496.52,UPI,1924,543,11,4,0.693,0.65,0,0
TXN-000089,94057.2,WALLET,2217,74,20,0,0.235,0.684,0,0
TXN-000090,65152.32,UPI,412,909,6,5,0.299,0.029,0,1
TXN-000091,56288.68,CARD,1001,1088,14,4,0.682,0.18,0,0
TXN-000092,57443.39,CARD,2039,1195,5,1,0.461,0.254,0,0
TXN-000093,69841.46,NETBANKING,2239,324,3,3,0.945,0.988,0,0
TXN-000094,68579.69,NETBANKING,816,788,28,3,0.107,0.381,0,0
TXN-000095,44355.09,WALLET,1125,17,19,5,0.778,0.974,1,0
TXN-000096,135449.94,CARD,2487,722,8,5,0.19,0.251,0,0
TXN-000097,96986.46,NETBANKING,1806,69,19,2,0.732,0.09,0,0
TXN-000098,26428.45,CARD,2210,750,17,4,0.913,0.83,0,0
TXN-000099,44341.7,NETBANKING,472,960,3,1,0.754,0.226,0,1
TXN-000100,59246.73,NETBANKING,2198,254,15,2,0.673,0.672,1,0
TXN-000101,141049.75,UPI,958,966,1,4,0.884,0.561,1,1
TXN-000102,95347.05,WALLET,1238,1330,14,0,0.14,0.946,0,1
TXN-000103,35296.52,CARD,1592,930,12,5,0.949,0.696,1,0
TXN-000104,109017.21,WALLET,406,1003,20,3,0.939,0.28,0,1
TXN-000105,142588.22,NETBANKING,407,1405,12,4,0.902,0.645,0,1
TXN-000106,145234.21,WALLET,376,1358,7,5,0.639,0.971,0,1
TXN-000107,18975.99,CARD,282,1136,7,4,0.216,0.87,0,0
TXN-000108,89437.65,NETBANKING,593,267,18,2,0.799,0.11,0,1
TXN-000109,118518.7,CARD,2412,664,1,1,0.265,0.127,0,0
TXN-000110,71489.27,NETBANKING,2103,1216,4,3,0.504,0.945,0,0
TXN-000111,144607.52,UPI,1962,823,14,5,0.108,0.712,0,0
TXN-000112,48384.56,CARD,270,259,9,4,0.633,0.548,0,0
TXN-000113,79630.47,WALLET,2071,1240,14,0,0.793,0.114,1,1
TXN-000114,133224.84,WALLET,1389,929,13,3,0.73,0.313,0,1
TXN-000115,22980.57,WALLET,275,187,27,0,0.093,0.097,0,0
TXN-000116,88011.12,NETBANKING,501,842,12,5,0.941,0.423,0,0
TXN-000117,52811.76,CARD,634,1345,16,1,0.847,0.35,1,1
TXN-000118,41857.38,CARD,1758,1149,25,4,0.614,0.643,0,1
TXN-000119,41063.23,NETBANKING,1392,719,1,1,0.87,0.566,0,1
TXN-000120,95012.48,UPI,376,1087,7,3,0.42,0.341,0,0
TXN-000121,116547.66,UPI,216,319,6,4,0.05,0.082,0,1
TXN-000122,66362.42,NETBANKING,883,1050,4,2,0.43,0.283,1,0
TXN-000123,46332.07,CARD,1619,1228,2,0,0.204,0.945,0,0
TXN-000124,18085.65,WALLET,1764,360,5,3,0.533,0.23,1,1
TXN-000125,129278.48,UPI,1787,39,15,0,0.862,0.576,1,1
TXN-000126,62712.32,UPI,1660,43,11,1,0.801,0.618,0,0
TXN-000127,15968.88,WALLET,2413,821,17,0,0.396,0.31,0,0
TXN-000128,25303.09,UPI,2174,1045,7,2,0.351,0.958,0,1
TXN-000129,38469.64,CARD,2468,314,25,5,0.075,0.951,0,0
TXN-000130,114005.58,WALLET,2313,1317,21,4,0.323,0.971,0,1
TXN-000131,70391.27,NETBANKING,1126,1212,2,2,0.507,0.31,0,1
TXN-000132,124771.33,UPI,370,1260,20,4,0.384,0.58,0,0
TXN-000133,85791.34,CARD,1317,1240,16,4,0.151,0.062,0,0
TXN-000134,12740.94,CARD,161,508,23,3,0.991,0.524,1,1
TXN-000135,137698.72,WALLET,1675,693,22,4,0.052,0.631,0,1
TXN-000136,83738.69,WALLET,1164,517,24,5,0.964,0.603,0,1
TXN-000137,99575.45,NETBANKING,1271,1344,23,5,0.392,0.595,0,0
TXN-000138,96559.64,NETBANKING,524,1373,23,5,0.997,0.912,0,1
TXN-000139,2832.76,NETBANKING,739,439,11,3,0.192,1.0,0,1
TXN-000140,118239.21,UPI,1380,1266,5,4,0.377,0.162,1,0
TXN-000141,6649.49,NETBANKING,973,910,20,2,0.752,0.784,0,1
TXN-000142,121312.72,WALLET,795,754,22,4,0.984,0.462,0,1
TXN-000143,62857.26,CARD,818,1239,5,2,0.052,0.481,0,0
TXN-000144,77434.82,UPI,1168,172,25,1,0.273,0.905,0,1
TXN-000145,136584.69,WALLET,1432,55,14,0,0.396,0.374,0,0
TXN-000146,4325.31,UPI,1374,300,5,0,0.287,0.83,0,0
TXN-000147,887.15,UPI,78,525,7,1,0.549,0.727,1,1
TXN-000148,43286.43,NETBANKING,500,98,8,3,0.639,0.623,0,0
TXN-000149,75024.4,UPI,2111,1178,8,5,0.144,0.429,1,1
TXN-000150,62543.48,UPI,2145,739,3,4,0.544,0.786,1,1
TXN-000151,70573.25,WALLET,1530,520,24,0,0.357,0.068,0,0
TXN-000152,110304.53,NETBANKING,547,91,12,4,0.339,0.643,0,0
TXN-000153,121743.5,UPI,1875,76,10,1,0.044,0.199,0,0
TXN-000154,77356.0,WALLET,1038,75,25,5,0.191,0.357,0,1
TXN-000155,119921.43,WALLET,1639,901,29,3,0.339,0.187,0,0
TXN-000156,77939.45,UPI,1739,162,14,4,0.995,0.18,0,1
TXN-000157,49255.19,NETBANKING,1256,914,20,5,0.426,0.69,0,1
TXN-000158,130518.57,NETBANKING,1782,563,21,0,0.075,0.638,0,0
TXN-000159,21502.64,WALLET,143,259,3,1,0.779,0.366,0,0
TXN-000160,101891.4,NETBANKING,1524,910,25,0,0.574,0.529,0,0
TXN-000161,37516.79,UPI,107,382,16,4,0.387,0.562,0,0
TXN-000162,32264.11,NETBANKING,2012,410,4,1,0.853,0.452,0,0
TXN-000163,145137.43,NETBANKING,1424,1454,3,4,0.542,0.891,0,0
TXN-000164,76362.49,UPI,824,285,8,3,0.026,0.554,0,0
TXN-000165,82791.88,UPI,270,634,13,5,0.719,0.526,0,1
TXN-000166,47622.45,UPI,1844,955,22,4,0.345,0.878,1,0
TXN-000167,19442.04,UPI,509,1062,5,2,0.165,0.323,0,0
TXN-000168,77882.78,NETBANKING,324,514,7,5,0.956,0.274,0,0
TXN-000169,25378.52,CARD,702,1350,20,5,0.902,0.338,1,0
TXN-000170,4353.19,UPI,2363,543,21,1,0.767,0.417,0,0
TXN-000171,81882.06,NETBANKING,1979,502,26,5,0.406,0.454,0,1
TXN-000172,72689.24,CARD,1394,1243,5,2,0.861,0.319,0,1
TXN-000173,55643.98,UPI,1308,496,15,0,0.267,0.248,0,1
TXN-000174,57684.06,WALLET,1017,328,27,2,0.934,0.721,0,1
TXN-000175,77257.25,WALLET,1264,1019,1,0,0.945,0.505,0,0
TXN-000176,7393.85,NETBANKING,2028,1224,29,5,0.673,0.286,0,0
TXN-000177,132380.11,NETBANKING,1652,750,2,3,0.051,0.562,0,1
TXN-000178,75687.9,NETBANKING,487,264,4,3,0.373,0.987,1,0
TXN-000179,29938.78,WALLET,2049,83,2,0,0.137,0.333,0,0
TXN-000180,133980.44,CARD,1344,1256,11,1,0.393,0.617,0,0
TXN-000181,76506.14,WALLET,2306,614,16,0,0.368,0.674,0,0
TXN-000182,108826.1,UPI,2445,972,9,5,0.783,0.776,1,1
TXN-000183,87570.14,CARD,2148,1289,24,4,0.775,0.38,0,1
TXN-000184,105108.08,CARD,78,904,11,3,0.151,0.691,0,0
TXN-000185,110402.01,UPI,566,1063,7,4,0.325,0.662,1,1
TXN-000186,26060.05,NETBANKING,2238,726,22,5,0.681,0.804,0,1
TXN-000187,37053.22,NETBANKING,922,610,25,2,0.705,0.69,0,0
TXN-000188,84117.09,NETBANKING,1179,250,19,5,0.543,0.896,0,0
TXN-000189,120711.91,NETBANKING,173,590,23,0,0.346,0.442,0,1
TXN-000190,124209.96,NETBANKING,2303,1426,9,1,0.109,0.741,0,1
TXN-000191,135787.11,CARD,954,108,4,3,0.33,0.472,0,0
TXN-000192,146688.82,CARD,1667,1338,30,3,0.477,0.199,0,1
TXN-000193,8968.47,UPI,2352,476,18,5,0.723,0.937,0,0
TXN-000194,26450.73,UPI,1627,1015,6,5,0.962,0.926,0,1
TXN-000195,90457.17,NETBANKING,1166,931,21,4,0.524,0.889,0,1
TXN-000196,121341.2,NETBANKING,666,1498,15,5,0.257,0.186,0,1
TXN-000197,113616.68,CARD,1661,876,17,2,0.087,0.669,0,1
TXN-000198,140380.23,UPI,1069,786,8,3,0.754,0.954,0,1
TXN-000199,53996.86,CARD,255,1368,4,3,0.307,0.405,1,0
TXN-000200,95842.83,NETBANKING,1506,1259,8,1,0.957,0.478,0,0
TXN-000201,82430.25,WALLET,2202,1361,27,1,0.762,0.68,1,1
TXN-000202,79273.15,NETBANKING,320,1156,4,0,0.829,0.903,0,1
TXN-000203,128187.45,WALLET,477,1394,7,5,0.583,0.091,1,0
TXN-000204,68069.5,WALLET,1872,1155,2,4,0.462,0.807,0,1
TXN-000205,552.02,CARD,2369,150,2,3,0.345,0.064,0,0
TXN-000206,70863.47,NETBANKING,1675,369,25,1,0.766,0.978,0,0
TXN-000207,57433.69,WALLET,1539,165,22,5,0.875,0.133,0,1
TXN-000208,80635.05,CARD,913,8,25,0,0.978,0.463,1,1
TXN-000209,123521.73,CARD,1887,709,5,2,0.188,0.875,0,0
TXN-000210,62944.17,UPI,986,423,3,0,0.594,0.446,0,0
TXN-000211,60399.58,CARD,2211,445,25,0,0.14,0.993,0,0
TXN-000212,115903.48,NETBANKING,971,619,29,1,0.986,0.521,0,1
TXN-000213,83552.05,CARD,1750,1139,16,0,0.972,0.942,0,0
TXN-000214,61298.05,NETBANKING,1542,377,25,4,0.474,0.849,0,0
TXN-000215,137219.7,WALLET,1707,1142,17,1,0.388,0.255,0,0
TXN-000216,127085.29,UPI,2194,1484,27,1,0.052,0.377,1,0
TXN-000217,28305.68,CARD,1964,428,28,2,0.303,0.909,0,0
TXN-000218,17685.7,WALLET,994,1425,20,5,0.205,0.915,1,0
TXN-000219,57161.2,NETBANKING,1264,536,12,4,0.883,0.466,0,0
TXN-000220,55668.67,WALLET,188,1153,28,1,0.741,0.016,1,1
TXN-000221,29509.15,CARD,1556,1167,27,1,0.499,0.655,0,0
TXN-000222,73344.3,WALLET,1888,345,24,2,0.169,0.72,0,0
TXN-000223,81366.31,UPI,2147,70,27,0,0.945,0.668,0,1
TXN-000224,94642.18,UPI,619,19,7,4,0.456,0.06,1,0
TXN-000225,2458.19,WALLET,49,35,17,5,0.275,0.977,0,0
TXN-000226,136475.03,UPI,395,1074,5,1,0.192,0.526,0,0
TXN-000227,11944.98,WALLET,1881,1158,8,5,0.226,0.684,0,1
TXN-000228,56951.68,WALLET,230,1305,1,5,0.171,0.5,0,0
TXN-000229,128708.25,UPI,2164,88,8,1,0.901,0.692,1,1
TXN-000230,138631.47,NETBANKING,2225,1155,22,0,0.179,0.85,0,0
TXN-000231,112862.95,WALLET,316,613,6,4,0.24,0.835,0,1
TXN-000232,110987.8,UPI,2052,709,2,0,0.437,0.839,0,0
TXN-000233,49023.86,NETBANKING,1846,1005,8,2,0.553,0.375,0,1
TXN-000234,92830.52,CARD,302,169,9,1,0.38,0.784,0,1
TXN-000235,16071.98,UPI,1263,911,12,2,0.102,0.087,0,0
TXN-000236,76914.88,UPI,108,184,12,4,0.093,0.598,0,1
TXN-000237,62130.13,UPI,2292,498,19,4,0.17,0.381,0,1
TXN-000238,74019.28,UPI,685,891,9,3,0.3,0.783,0,0
TXN-000239,108162.83,WALLET,2433,1263,7,3,0.107,0.305,0,0
TXN-000240,57045.5,NETBANKING,1804,686,14,5,0.974,0.136,0,0
TXN-000241,26727.83,WALLET,1308,597,24,5,0.633,0.968,0,1
TXN-000242,122492.53,WALLET,1496,234,30,4,0.2,0.997,0,0
TXN-000243,69297.17,CARD,1796,597,27,5,0.069,0.848,0,1
TXN-000244,45494.61,NETBANKING,632,1465,14,3,0.074,0.991,0,0
TXN-000245,138532.01,WALLET,2227,76,26,2,0.702,0.812,1,1
TXN-000246,37309.82,NETBANKING,682,1326,20,0,0.563,0.645,0,0
TXN-000247,64625.29,UPI,404,530,8,4,0.747,0.558,1,0
TXN-000248,58731.01,CARD,1413,51,16,0,0.295,0.921,0,0
TXN-000249,109549.59,NETBANKING,1278,703,15,1,0.521,0.348,0,0
TXN-000250,67921.83,UPI,1230,92,26,5,0.115,0.849,0,0
TXN-000251,111099.37,CARD,2261,328,11,4,0.426,0.462,0,1
TXN-000252,98630.46,WALLET,120,1258,29,1,0.45,0.43,0,1
TXN-000253,112873.59,UPI,2365,209,26,4,0.187,0.326,0,1
TXN-000254,129409.22,NETBANKING,2446,796,20,3,0.587,0.348,0,0
TXN-000255,105927.66,NETBANKING,2418,174,22,1,0.313,0.239,0,1
TXN-000256,21289.65,WALLET,1714,1222,5,4,0.384,0.186,1,0
TXN-000257,73497.34,CARD,767,645,27,3,0.619,0.866,0,1
TXN-000258,122300.87,WALLET,1676,1403,16,3,0.71,0.444,0,1
TXN-000259,119402.55,CARD,1197,67,9,1,0.538,0.168,0,0
TXN-000260,17070.33,UPI,1098,1113,27,2,0.542,0.757,0,0
TXN-000261,15452.22,CARD,1220,67,15,2,0.349,0.817,0,0
TXN-000262,35618.21,NETBANKING,2500,1296,14,1,0.616,0.785,0,0
TXN-000263,79888.89,CARD,1326,1442,10,2,0.573,0.952,1,1
TXN-000264,112539.11,WALLET,243,568,28,5,0.127,0.866,0,1
TXN-000265,124289.42,WALLET,2005,292,19,5,0.269,0.414,0,0
TXN-000266,132030.75,UPI,1651,1056,24,2,0.695,0.877,0,1
TXN-000267,470.72,UPI,1878,1301,22,5,0.358,0.063,1,1
TXN-000268,64503.5,CARD,2027,550,11,2,0.338,0.578,1,0
TXN-000269,134133.78,UPI,189,204,21,3,0.016,0.929,0,1
TXN-000270,148776.55,WALLET,829,1411,30,1,0.882,0.302,0,0
TXN-000271,37633.35,NETBANKING,678,107,13,5,0.306,0.699,0,0
TXN-000272,105584.34,UPI,875,977,3,1,0.594,0.519,0,1
TXN-000273,51601.77,UPI,1730,1422,5,3,0.071,0.383,0,0
TXN-000274,132160.25,CARD,1568,273,21,5,0.143,0.531,0,1
TXN-000275,108392.56,CARD,1687,1262,22,3,0.86,0.087,0,1
TXN-000276,88477.13,WALLET,1440,880,11,1,0.248,0.645,0,0
TXN-000277,103602.36,NETBANKING,842,1061,20,4,0.189,0.392,0,1
TXN-000278,17000.28,WALLET,2433,146,17,0,0.987,0.934,0,0
TXN-000279,85300.22,NETBANKING,2238,1399,6,3,0.954,0.77,0,1
TXN-000280,32439.87,UPI,1631,1038,10,5,0.713,0.767,0,1
TXN-000281,80531.07,CARD,1137,172,10,0,0.511,0.203,0,0
TXN-000282,95180.71,UPI,1271,1431,14,5,0.953,0.239,0,0
TXN-000283,17486.39,UPI,1267,1365,24,5,0.741,0.119,0,1
TXN-000284,142957.13,NETBANKING,684,762,5,5,0.781,0.269,0,1
TXN-000285,64455.75,UPI,1078,1459,19,5,0.077,0.455,0,0
TXN-000286,85076.23,NETBANKING,645,523,25,0,0.894,0.674,0,0
TXN-000287,485.02,UPI,1002,95,16,2,0.383,0.15,0,1
TXN-000288,37314.65,NETBANKING,1112,160,19,2,0.119,0.673,0,1
TXN-000289,77414.54,UPI,1643,142,29,3,0.866,0.774,0,1
TXN-000290,68566.25,NETBANKING,822,598,19,2,0.74,0.243,0,0
TXN-000291,116405.3,CARD,617,14,30,3,0.024,0.542,0,1
TXN-000292,98629.85,NETBANKING,426,421,17,1,0.42,0.961,0,1
TXN-000293,138199.03,WALLET,1526,939,24,0,0.581,0.505,0,0
TXN-000294,9436.2,CARD,970,598,9,2,0.926,0.393,0,0
TXN-000295,35118.32,CARD,558,1198,4,1,0.106,0.45,0,1
TXN-000296,53807.29,CARD,1852,632,15,2,0.852,0.09,0,1
TXN-000297,128500.33,CARD,374,1457,8,2,0.396,0.049,0,0
TXN-000298,26162.77,WALLET,1853,1139,24,4,0.25,0.462,0,1
TXN-000299,124572.81,CARD,536,406,27,3,0.372,0.63,0,0
TXN-000300,11340.58,UPI,810,1323,15,1,0.092,0.847,0,1
TXN-000301,69203.14,CARD,2351,888,27,5,0.395,0.029,0,1
TXN-000302,136254.8,NETBANKING,1147,914,29,1,0.035,0.619,0,0
TXN-000303,132428.51,WALLET,250,180,9,3,0.137,0.199,1,0
TXN-000304,120345.0,UPI,1567,1461,12,3,0.545,0.485,1,1
TXN-000305,27054.4,NETBANKING,2446,449,1,2,0.059,0.992,1,0
TXN-000306,149940.9,CARD,411,508,22,1,0.267,0.816,0,1
TXN-000307,147401.43,WALLET,1454,356,6,1,0.593,0.806,0,0
TXN-000308,52817.15,CARD,2307,386,27,3,0.542,0.176,0,1
TXN-000309,90289.25,UPI,2157,979,1,2,0.918,0.201,0,0
TXN-000310,137825.24,NETBANKING,244,45,5,4,0.705,0.142,0,0
TXN-000311,56101.26,WALLET,2401,207,11,2,0.323,0.976,0,0
TXN-000312,26212.98,NETBANKING,915,1364,19,1,0.378,0.734,0,0
TXN-000313,369.51,WALLET,2325,67,6,4,0.318,0.809,1,0
TXN-000314,15706.12,WALLET,577,679,24,0,0.238,0.982,0,0
TXN-000315,100536.68,NETBANKING,1830,24,9,1,0.25,0.068,0,0
TXN-000316,7317.3,WALLET,1719,341,29,3,0.493,0.379,1,1
TXN-000317,71975.44,CARD,667,925,3,0,0.295,0.319,0,0
TXN-000318,133200.9,CARD,308,1121,29,0,0.338,0.985,0,1
TXN-000319,98079.91,WALLET,644,110,4,2,0.206,0.19,1,0
TXN-000320,44680.36,UPI,204,805,19,4,0.84,0.154,0,1
TXN-000321,44252.96,WALLET,818,199,1,1,0.171,0.292,0,0
TXN-000322,46322.17,WALLET,1929,1002,29,5,0.265,0.642,0,0
TXN-000323,57278.63,CARD,1826,92,9,3,0.465,0.226,0,1
TXN-000324,104501.0,UPI,352,1369,12,4,0.414,0.756,0,0
TXN-000325,122778.94,WALLET,2194,1408,28,3,0.573,0.236,0,1
TXN-000326,128105.58,UPI,2057,1170,29,4,0.8,0.678,1,1
TXN-000327,113602.59,CARD,685,434,26,1,0.126,0.423,0,0
TXN-000328,94121.21,NETBANKING,1310,1490,30,0,0.087,0.556,1,0
TXN-000329,78001.26,UPI,2407,1071,26,3,0.113,0.15,1,0
TXN-000330,84446.3,UPI,1172,1097,29,2,0.878,0.264,0,1
TXN-000331,41384.58,CARD,2494,1395,23,3,0.039,0.89,0,1
TXN-000332,71335.21,NETBANKING,1526,42,11,2,0.311,0.843,0,1
TXN-000333,146135.49,WALLET,1315,552,24,3,0.605,0.089,0,0
TXN-000334,61134.84,WALLET,2116,766,27,0,0.515,0.159,0,1
TXN-000335,127709.17,UPI,712,395,29,1,0.837,0.249,0,0
TXN-000336,105724.63,NETBANKING,1509,951,17,3,0.635,0.124,0,1
TXN-000337,89147.13,CARD,1944,1202,18,2,0.344,0.838,0,1
TXN-000338,58046.19,CARD,2344,439,28,1,0.647,0.678,0,0
TXN-000339,129708.03,UPI,1942,271,21,1,0.601,0.008,0,0
TXN-000340,106434.29,NETBANKING,1736,772,28,2,0.459,0.218,0,1
TXN-000341,1201.4,NETBANKING,2300,1326,20,4,0.283,0.684,0,0
TXN-000342,41544.84,NETBANKING,1135,535,21,5,0.952,0.651,0,0
TXN-000343,36121.28,UPI,2458,828,22,2,0.681,0.721,0,1
TXN-000344,62843.0,WALLET,145,1195,23,4,0.816,0.343,0,0
TXN-000345,100813.08,NETBANKING,697,1347,29,4,0.181,0.098,0,0
TXN-000346,83898.85,CARD,1375,1341,3,1,0.355,0.744,0,0
TXN-000347,49764.44,NETBANKING,2399,603,15,0,0.471,0.866,1,0
TXN-000348,29262.12,UPI,1564,1086,10,3,0.054,0.854,0,0
TXN-000349,148080.02,WALLET,587,648,28,5,0.18,0.081,0,1
TXN-000350,8796.24,WALLET,1121,429,25,1,0.576,0.158,0,0
TXN-000351,95059.78,WALLET,1758,978,13,0,0.038,0.199,0,0
TXN-000352,113551.48,CARD,74,1386,1,5,0.734,0.226,0,1
TXN-000353,57594.22,NETBANKING,685,134,27,0,0.298,0.291,1,1
TXN-000354,103048.35,CARD,1404,1004,12,1,0.165,0.907,0,1
TXN-000355,109102.61,CARD,866,45,19,4,0.169,0.367,0,0
TXN-000356,38442.8,UPI,2433,99,22,0,0.654,0.02,0,0
TXN-000357,18626.9,NETBANKING,1944,1438,5,1,0.695,0.63,0,0
TXN-000358,99406.2,NETBANKING,2481,1436,5,3,0.831,0.105,1,1
TXN-000359,117735.53,WALLET,814,1248,7,2,0.831,0.973,0,1
TXN-000360,6006.92,WALLET,851,1410,30,3,0.331,0.003,0,0
TXN-000361,100386.39,CARD,369,1048,3,5,0.724,0.905,0,0
TXN-000362,44473.72,WALLET,206,205,27,1,0.874,0.852,0,1
TXN-000363,17473.57,UPI,40,284,22,5,0.171,0.358,0,0
TXN-000364,14033.4,NETBANKING,750,234,13,3,0.962,0.272,0,0
TXN-000365,97362.09,CARD,464,272,23,5,0.059,0.942,0,1
